ffmpeg version git-2019-12-02-968c4cb Copyright (c) 2000-2019 the FFmpeg developers
  built with gcc 9.2.1 (GCC) 20191125
  configuration: --enable-gpl --enable-version3 --enable-sdl2 --enable-fontconfig --enable-gnutls --enable-iconv --enable-libass --enable-libdav1d --enable-libbluray --enable-libfreetype --enable-libmp3lame --enable-libopencore-amrnb --enable-libopencore-amrwb --enable-libopenjpeg --enable-libopus --enable-libshine --enable-libsnappy --enable-libsoxr --enable-libtheora --enable-libtwolame --enable-libvpx --enable-libwavpack --enable-libwebp --enable-libx264 --enable-libx265 --enable-libxml2 --enable-libzimg --enable-lzma --enable-zlib --enable-gmp --enable-libvidstab --enable-libvorbis --enable-libvo-amrwbenc --enable-libmysofa --enable-libspeex --enable-libxvid --enable-libaom --enable-libmfx --enable-ffnvcodec --enable-cuvid --enable-d3d11va --enable-nvenc --enable-nvdec --enable-dxva2 --enable-avisynth --enable-libopenmpt --enable-amf
  libavutil      56. 36.101 / 56. 36.101
  libavcodec     58. 64.101 / 58. 64.101
  libavformat    58. 35.100 / 58. 35.100
  libavdevice    58.  9.101 / 58.  9.101
  libavfilter     7. 67.100 /  7. 67.100
  libswscale      5.  6.100 /  5.  6.100
  libswresample   3.  6.100 /  3.  6.100
  libpostproc    55.  6.100 / 55.  6.100
Input #0, rawvideo, from 'pipe:':
  Duration: N/A, start: 0.000000, bitrate: 259200 kb/s
    Stream #0:0: Video: rawvideo (RGB[24] / 0x18424752), rgb24, 600x600, 259200 kb/s, 30 tbr, 30 tbn, 30 tbc
Stream mapping:
  Stream #0:0 -> #0:0 (rawvideo (native) -> h264 (libx264))
[swscaler @ 000002230e41ffc0] Warning: data is not aligned! This can lead to a speed loss
[libx264 @ 000002230e3cc080] using cpu capabilities: MMX2 SSE2Fast SSSE3 SSE4.2 AVX FMA3 BMI2 AVX2
[libx264 @ 000002230e3cc080] profile High, level 3.1, 4:2:0, 8-bit
[libx264 @ 000002230e3cc080] 264 - core 158 - H.264/MPEG-4 AVC codec - Copyleft 2003-2019 - http://www.videolan.org/x264.html - options: cabac=1 ref=3 deblock=1:0:0 analyse=0x3:0x113 me=hex subme=7 psy=1 psy_rd=1.00:0.00 mixed_ref=1 me_range=16 chroma_me=1 trellis=1 8x8dct=1 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=-2 threads=12 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=15.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
Output #0, mp4, to 'C:\Users\vaeat\Documents\ProjetAI\TankGame\processing-movie.mp4':
  Metadata:
    comment         : Made with Video Export for Processing - https://git.io/vAXLk
    encoder         : Lavf58.35.100
    Stream #0:0: Video: h264 (libx264) (avc1 / 0x31637661), yuv420p, 600x600, q=-1--1, 30 fps, 15360 tbn, 30 tbc
    Metadata:
      encoder         : Lavc58.64.101 libx264
    Side data:
      cpb: bitrate max/min/avg: 0/0/0 buffer size: 0 vbv_delay: N/A
frame=   33 fps=0.0 q=0.0 size=       0kB time=00:00:00.00 bitrate=N/A speed=   0x    
frame=   64 fps= 63 q=21.0 size=       0kB time=00:00:00.16 bitrate=   2.3kbits/s speed=0.163x    
frame=   95 fps= 62 q=21.0 size=       0kB time=00:00:01.20 bitrate=   0.3kbits/s speed=0.78x    
frame=  126 fps= 61 q=21.0 size=       0kB time=00:00:02.23 bitrate=   0.2kbits/s speed=1.09x    
frame=  156 fps= 61 q=21.0 size=       0kB time=00:00:03.23 bitrate=   0.1kbits/s speed=1.27x    
frame=  187 fps= 61 q=21.0 size=       0kB time=00:00:04.26 bitrate=   0.1kbits/s speed=1.39x    
frame=  218 fps= 61 q=21.0 size=       0kB time=00:00:05.30 bitrate=   0.1kbits/s speed=1.48x    
frame=  248 fps= 61 q=21.0 size=       0kB time=00:00:06.30 bitrate=   0.1kbits/s speed=1.54x    
frame=  279 fps= 61 q=21.0 size=       0kB time=00:00:07.33 bitrate=   0.1kbits/s speed=1.59x    
frame=  309 fps= 61 q=21.0 size=       0kB time=00:00:08.33 bitrate=   0.0kbits/s speed=1.63x    
frame=  340 fps= 60 q=21.0 size=       0kB time=00:00:09.36 bitrate=   0.0kbits/s speed=1.67x    
frame=  370 fps= 60 q=21.0 size=       0kB time=00:00:10.36 bitrate=   0.0kbits/s speed=1.69x    
frame=  400 fps= 60 q=21.0 size=       0kB time=00:00:11.36 bitrate=   0.0kbits/s speed=1.72x    
frame=  430 fps= 60 q=21.0 size=       0kB time=00:00:12.36 bitrate=   0.0kbits/s speed=1.74x    
frame=  461 fps= 60 q=21.0 size=       0kB time=00:00:13.40 bitrate=   0.0kbits/s speed=1.75x    
frame=  492 fps= 60 q=21.0 size=       0kB time=00:00:14.43 bitrate=   0.0kbits/s speed=1.77x    
frame=  522 fps= 60 q=21.0 size=       0kB time=00:00:15.43 bitrate=   0.0kbits/s speed=1.78x    
frame=  552 fps= 60 q=21.0 size=       0kB time=00:00:16.43 bitrate=   0.0kbits/s speed=1.79x    
frame=  583 fps= 60 q=21.0 size=       0kB time=00:00:17.46 bitrate=   0.0kbits/s speed=1.81x    
frame=  613 fps= 60 q=21.0 size=       0kB time=00:00:18.46 bitrate=   0.0kbits/s speed=1.82x    
frame=  644 fps= 60 q=21.0 size=       0kB time=00:00:19.50 bitrate=   0.0kbits/s speed=1.82x    
frame=  675 fps= 60 q=21.0 size=       0kB time=00:00:20.53 bitrate=   0.0kbits/s speed=1.83x    
frame=  705 fps= 60 q=21.0 size=       0kB time=00:00:21.53 bitrate=   0.0kbits/s speed=1.84x    
frame=  736 fps= 60 q=21.0 size=       0kB time=00:00:22.56 bitrate=   0.0kbits/s speed=1.85x    
frame=  767 fps= 60 q=21.0 size=       0kB time=00:00:23.60 bitrate=   0.0kbits/s speed=1.85x    
frame=  797 fps= 60 q=21.0 size=       0kB time=00:00:24.60 bitrate=   0.0kbits/s speed=1.86x    
frame=  828 fps= 60 q=21.0 size=       0kB time=00:00:25.63 bitrate=   0.0kbits/s speed=1.86x    
frame=  859 fps= 60 q=21.0 size=       0kB time=00:00:26.66 bitrate=   0.0kbits/s speed=1.87x    
frame=  890 fps= 60 q=21.0 size=       0kB time=00:00:27.70 bitrate=   0.0kbits/s speed=1.87x    
frame=  921 fps= 60 q=21.0 size=       0kB time=00:00:28.73 bitrate=   0.0kbits/s speed=1.88x    
frame=  951 fps= 60 q=21.0 size=       0kB time=00:00:29.73 bitrate=   0.0kbits/s speed=1.88x    
frame=  981 fps= 60 q=21.0 size=       0kB time=00:00:30.73 bitrate=   0.0kbits/s speed=1.88x    
frame= 1011 fps= 60 q=21.0 size=       0kB time=00:00:31.73 bitrate=   0.0kbits/s speed=1.89x    
frame= 1042 fps= 60 q=21.0 size=     256kB time=00:00:32.76 bitrate=  64.0kbits/s speed=1.89x    
frame= 1073 fps= 60 q=21.0 size=     256kB time=00:00:33.80 bitrate=  62.1kbits/s speed=1.89x    
frame= 1104 fps= 60 q=21.0 size=     256kB time=00:00:34.83 bitrate=  60.2kbits/s speed= 1.9x    
frame= 1134 fps= 60 q=21.0 size=     256kB time=00:00:35.83 bitrate=  58.5kbits/s speed= 1.9x    
frame= 1165 fps= 60 q=21.0 size=     256kB time=00:00:36.86 bitrate=  56.9kbits/s speed= 1.9x    
frame= 1195 fps= 60 q=21.0 size=     256kB time=00:00:37.86 bitrate=  55.4kbits/s speed=1.91x    
frame= 1226 fps= 60 q=21.0 size=     256kB time=00:00:38.90 bitrate=  53.9kbits/s speed=1.91x    
frame= 1256 fps= 60 q=21.0 size=     256kB time=00:00:39.90 bitrate=  52.6kbits/s speed=1.91x    
frame= 1287 fps= 60 q=21.0 size=     256kB time=00:00:40.93 bitrate=  51.2kbits/s speed=1.91x    
frame= 1318 fps= 60 q=21.0 size=     256kB time=00:00:41.96 bitrate=  50.0kbits/s speed=1.91x    
frame= 1348 fps= 60 q=21.0 size=     256kB time=00:00:42.96 bitrate=  48.8kbits/s speed=1.92x    
frame= 1379 fps= 60 q=21.0 size=     256kB time=00:00:44.00 bitrate=  47.7kbits/s speed=1.92x    
frame= 1410 fps= 60 q=21.0 size=     256kB time=00:00:45.03 bitrate=  46.6kbits/s speed=1.92x    
frame= 1441 fps= 60 q=21.0 size=     256kB time=00:00:46.06 bitrate=  45.5kbits/s speed=1.92x    
frame= 1472 fps= 60 q=21.0 size=     256kB time=00:00:47.10 bitrate=  44.5kbits/s speed=1.92x    
frame= 1503 fps= 60 q=21.0 size=     256kB time=00:00:48.13 bitrate=  43.6kbits/s speed=1.92x    
frame= 1533 fps= 60 q=21.0 size=     256kB time=00:00:49.13 bitrate=  42.7kbits/s speed=1.93x    
frame= 1564 fps= 60 q=21.0 size=     256kB time=00:00:50.16 bitrate=  41.8kbits/s speed=1.93x    
frame= 1595 fps= 60 q=21.0 size=     256kB time=00:00:51.20 bitrate=  41.0kbits/s speed=1.93x    
frame= 1626 fps= 60 q=21.0 size=     256kB time=00:00:52.23 bitrate=  40.2kbits/s speed=1.93x    
frame= 1657 fps= 60 q=21.0 size=     256kB time=00:00:53.26 bitrate=  39.4kbits/s speed=1.93x    
frame= 1687 fps= 60 q=21.0 size=     256kB time=00:00:54.26 bitrate=  38.7kbits/s speed=1.93x    
frame= 1717 fps= 60 q=21.0 size=     256kB time=00:00:55.26 bitrate=  38.0kbits/s speed=1.93x    
frame= 1748 fps= 60 q=21.0 size=     256kB time=00:00:56.30 bitrate=  37.3kbits/s speed=1.94x    
frame= 1778 fps= 60 q=21.0 size=     256kB time=00:00:57.30 bitrate=  36.6kbits/s speed=1.94x    
frame= 1809 fps= 60 q=21.0 size=     256kB time=00:00:58.33 bitrate=  36.0kbits/s speed=1.94x    
frame= 1840 fps= 60 q=21.0 size=     512kB time=00:00:59.36 bitrate=  70.7kbits/s speed=1.94x    
frame= 1870 fps= 60 q=21.0 size=     512kB time=00:01:00.36 bitrate=  69.5kbits/s speed=1.94x    
frame= 1901 fps= 60 q=21.0 size=     512kB time=00:01:01.40 bitrate=  68.3kbits/s speed=1.94x    
frame= 1932 fps= 60 q=21.0 size=     512kB time=00:01:02.43 bitrate=  67.2kbits/s speed=1.94x    
frame= 1962 fps= 60 q=21.0 size=     512kB time=00:01:03.43 bitrate=  66.1kbits/s speed=1.94x    
frame= 1992 fps= 60 q=21.0 size=     512kB time=00:01:04.43 bitrate=  65.1kbits/s speed=1.94x    
frame= 2023 fps= 60 q=21.0 size=     512kB time=00:01:05.46 bitrate=  64.1kbits/s speed=1.94x    
frame= 2054 fps= 60 q=21.0 size=     512kB time=00:01:06.50 bitrate=  63.1kbits/s speed=1.95x    
frame= 2085 fps= 60 q=21.0 size=     512kB time=00:01:07.53 bitrate=  62.1kbits/s speed=1.95x    
frame= 2115 fps= 60 q=21.0 size=     512kB time=00:01:08.53 bitrate=  61.2kbits/s speed=1.95x    
frame= 2145 fps= 60 q=21.0 size=     512kB time=00:01:09.53 bitrate=  60.3kbits/s speed=1.95x    
frame= 2175 fps= 60 q=21.0 size=     512kB time=00:01:10.53 bitrate=  59.5kbits/s speed=1.95x    
frame= 2205 fps= 60 q=21.0 size=     512kB time=00:01:11.53 bitrate=  58.6kbits/s speed=1.95x    
frame= 2236 fps= 60 q=21.0 size=     512kB time=00:01:12.56 bitrate=  57.8kbits/s speed=1.95x    
frame= 2267 fps= 60 q=21.0 size=     512kB time=00:01:13.60 bitrate=  57.0kbits/s speed=1.95x    
frame= 2297 fps= 60 q=21.0 size=     512kB time=00:01:14.60 bitrate=  56.2kbits/s speed=1.95x    
frame= 2328 fps= 60 q=21.0 size=     512kB time=00:01:15.63 bitrate=  55.5kbits/s speed=1.95x    
frame= 2358 fps= 60 q=21.0 size=     512kB time=00:01:16.63 bitrate=  54.7kbits/s speed=1.95x    
frame= 2389 fps= 60 q=21.0 size=     512kB time=00:01:17.66 bitrate=  54.0kbits/s speed=1.95x    
frame= 2420 fps= 60 q=21.0 size=     512kB time=00:01:18.70 bitrate=  53.3kbits/s speed=1.95x    
frame= 2450 fps= 60 q=21.0 size=     512kB time=00:01:19.70 bitrate=  52.6kbits/s speed=1.95x    
frame= 2481 fps= 60 q=21.0 size=     512kB time=00:01:20.73 bitrate=  52.0kbits/s speed=1.95x    
frame= 2512 fps= 60 q=21.0 size=     512kB time=00:01:21.76 bitrate=  51.3kbits/s speed=1.96x    
frame= 2542 fps= 60 q=21.0 size=     512kB time=00:01:22.76 bitrate=  50.7kbits/s speed=1.96x    
frame= 2572 fps= 60 q=21.0 size=     512kB time=00:01:23.76 bitrate=  50.1kbits/s speed=1.96x    
frame= 2603 fps= 60 q=21.0 size=     512kB time=00:01:24.80 bitrate=  49.5kbits/s speed=1.96x    
frame= 2633 fps= 60 q=21.0 size=     512kB time=00:01:25.80 bitrate=  48.9kbits/s speed=1.96x    
frame= 2664 fps= 60 q=21.0 size=     512kB time=00:01:26.83 bitrate=  48.3kbits/s speed=1.96x    
frame= 2695 fps= 60 q=21.0 size=     768kB time=00:01:27.86 bitrate=  71.6kbits/s speed=1.96x    
